year,productivity,wage
1994,3170.15,1997.987
1995,3212.28,2016.412
1996,3299.24,2072.064
1997,3352.52,2113.539
1998,3325.31,2113.662
1999,3345.3,2127.351
2000,3410.26,2145.708
2001,3440.66,2194.602
2002,3534.46,2218.088
2003,3581.95,2212.651
2004,3638.99,2218.383
2005,3690.91,2269.46
2006,3692.98,2277.911
2007,3772.03,2306.595
2008,3764.33,2340.071
2009,3671.11,2316.089
2010,3810.84,2319.553
2011,3777.69,2372.74
2012,3876.86,2418.34
2013,3925.72,2426.119
2014,3900.24,2438.856
